Longitude,Latitude,FID,Kode_Provinsi,Provinsi
96.90952275,4.225081892,1,11,Aceh
99.05788785,2.184779215,2,12,Sumatera Utara
100.466805,-0.851914348,3,13,Sumatera Barat
101.812892,0.510525849,4,14,Riau
103.59932,-1.61775,5,15,Jambi
104.1704194,-3.213346822,6,16,Sumatera Selatan
102.26312,-3.79116,7,17,Bengkulu
105.9869481,-2.252956411,8,19,Bangka Belitung
105.0183131,-4.918073087,9,18,Lampung
108.2022289,3.915947241,10,21,Kepulauan Riau
106.82649,-6.17148,11,31,DKI Jakarta
107.6028079,-6.919980216,12,32,Jawa Barat
110.2011125,-7.258970383,13,33,Jawa Tengah
110.445367,-7.895013815,14,34,Daerah Istimewa Yogyakarta
112.7336788,-7.720113019,15,35,Jawa Timur
106.1091971,-6.456181599,16,36,Banten
115.131651,-8.369743261,17,51,Bali
117.5068625,-8.606652084,18,52,Nusa Tenggara Barat
121.1418292,-8.604843332,19,53,Nusa Tenggara Timur
111.1207624,-0.085901234,20,61,Kalimantan Barat
113.1810479,-1.634340045,21,62,Kalimantan Tengah
115.3113078,-2.449779137,22,63,Kalimantan Selatan
116.4708584,0.461046227,23,64,Kalimantan Timur
116.2167183,2.888820961,24,65,Kalimantan Utara
124.5353789,1.286097687,25,71,Sulawesi Utara
120.4495925,-1.459214954,26,72,Sulawesi Tengah
120.1611577,-3.747115712,27,73,Sulawesi Selatan
122.0786781,-4.132803971,28,74,Sulawesi Tenggara
123.06184,0.53707,29,75,Gorontalo
119.3434714,-2.461902015,30,76,Sulawesi Barat
129.360425,-3.126119343,31,81,Maluku
128.0159294,0.869337001,32,82,Maluku Utara
140,-5,33,94,Papua
132.9683417,-2.041723282,34,91,Papua Barat
113.915865,-0.989818182,35,0,Indonesia
